,nr cam,mp,parter,et1-2,et3+,etaj max,typ_decom,bloc nou,Price/Surface,Price,WebPage
129,2,55.36,1,0,0,0,1,1,919.44,50900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X73D00042?lista=2349706&listing=1
130,1,24,0,0,1,6,0,1,1729.17,41500,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/theodor-pallady/garsoniera-de-vanzare-XV0K009PN?lista=2349706&listing=1
131,3,84.16,0,1,0,1,1,1,2646.73,222749,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-3-camere-X5QB10101?lista=2349706&listing=1
132,4,182,0,0,1,4,1,1,2252.75,410000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/iancu-nicolae/apartament-de-vanzare-4-camere-XBUT00001?lista=2349706&listing=1
133,4,168,0,0,1,5,1,1,2976.19,500000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-4-camere-X2F71005S?lista=2349706&listing=1
134,4,96,0,1,0,2,1,0,1197.92,115000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/colentina/apartament-de-vanzare-4-camere-XV0K000S7?lista=2349706&listing=1
135,2,48,0,1,0,1,1,1,2497.67,119888,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-2-camere-X2F71000U?lista=2349706&listing=1
136,3,82,0,1,0,1,1,0,2439.02,200000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/unirii/apartament-de-vanzare-3-camere-XV0K009NV?lista=2349706&listing=1
137,2,70,0,1,0,1,1,1,1985.6,138992,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/banu-manta/apartament-de-vanzare-2-camere-XV0I00HR9?lista=2349706&listing=1
138,3,89.04,0,0,1,6,1,1,1117.48,99500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/theodor-pallady/apartament-de-vanzare-3-camere-XBLL00004?lista=2349706&listing=1
139,3,73,0,0,1,9,1,0,1095.89,80000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/drumul-taberei/apartament-de-vanzare-3-camere-XV0K009MD?lista=2349706&listing=1
140,5,218.01,0,0,1,5,1,1,2522.82,549999,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-5-camere-X5QB100O6?lista=2349706&listing=1
141,2,60,0,1,0,2,0,1,3164.67,189880,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-2-camere-X2F71001N?lista=2349706&listing=1
